opening,closing
([[([[([([[(([,]))]])])]])]])
([((((([[([[([(((([([(([,]))])]))))])]])]])))))])
[((([(([,]))])))]
[((([((([[([[((([([,])])))]])]])))])))]
(([(([(([[[([((([([(((([((,))]))))])])))])]]]))]))]))
((([(([[([[(((([[,]]))))]])]]))])))
[((([[,]])))]
(([(((([[((,))]]))))]))
[([((([([,])])))])]
[[[[[[[[[([[(([(((((([[(,)]]))))))]))]])]]]]]]]]]
[([[[([[(,)]])]]])]
(((([([[((((([,])))))]])]))))
[((([(([[([((,))])]]))])))]
([((,))])
[([[[([([[([[[([[[[,]]]])]]])]])])]]])]
[(([(,)]))]
((([,])))
(([[[([(([([([(((([(((((([(,)]))))))]))))])])]))])]]]))
[([[[[(,)]]]])]
[(([([[([[([([[[((([[,]])))]]])])]])]])]))]
(([([[([([[([((([((,))])))])]])])]])]))
([(([,]))])
[(([[[[[[([[([(((,)))])]])]]]]]]))]
[[[[([([(,)])])]]]]
([(([([([([[[[([([([,])])])]]]])])])]))])
[[([[([[([[([[([[[([[(,)]])]]])]])]])]])]])]]
((([(,)])))
((((([[([[[[,]]]])]])))))
(([[[([(([(((,)))]))])]]]))
([([[((((((((([[[,]]])))))))))]])])
(,)
([([(,)])])
((([([[([([[([([[(([([([,])])]))]])])]])])]])])))
([[[(,)]]])
[[([((([(((([(([(,)]))]))))])))])]]
[[(((([([(([[,]]))])]))))]]
[([[[([[[[[([[(([(,)]))]])]]]]])]]])]
(((((((((((([([([,])])]))))))))))))
([((([([[(([([[[([([,])])]]])]))]])])))])
([[([([[([[([(((([[[(([[((((,))))]]))]]]))))])]])]])])]])
((([(([[[[[[[,]]]]]]]))])))
((,))
[([([([[((((,))))]])])])]
([[([[[[[[[[[((([[([[[[[[[,]]]]]]])]])))]]]]]]]]])]])
([(([[[[([(([[[[[(([[((,))]]))]]]]]))])]]]]))])
(([((([[(([[[[(([(((([,]))))]))]]]]))]])))]))
(([(([[([(((((([[[[([([(,)])])]]]]))))))])]]))]))
(((([(([([([([[,]])])])]))]))))
[([([((((([[[[((,))]]]])))))])])]
(([([[((([(([([[([[([(,)])]])]])]))])))]])]))
[[[([(([(([[[([,])]]]))]))])]]]
[[([[((([((([[,]])))])))]])]]
([([[([((((([((((([([[[(([[[([,])]]]))]]])])))))])))))])]])])
[([[([[[(,)]]])]])]
((([[([[([[([([((,))])])]])]])]])))
([[[[([(([[(((,)))]]))])]]]])
([[([[[((((((((((([[((([,])))]])))))))))))]]])]])
([([[([(([[[,]]]))])]])])
([[[[[(([([[[([,])]]])]))]]]]])
[[([[[[([[[([((([([(([([([,])])]))])])))])]]])]]]])]]
[(([[(([([([([(([((((((([[((([,])))]])))))))]))])])])]))]]))]
([[[[[[((([[[,]]])))]]]]]])
[(([[[(([[[((,))]]]))]]]))]
([[[[(([[[([([(([([([((([[(,)]])))])])]))])])]]]))]]]])
([[(([[([[(([(,)]))]])]]))]])
[[[[[(,)]]]]]
[((([(([[[(((([[,]]))))]]]))])))]
(([((((([([[([(((,)))])]])])))))]))
[[((,))]]
([([[[(([[[([([([(([(([[[[[[[(,)]]]]]]]))]))])])])]]]))]]])])
(([,]))
